Date,Customer,Product,Region,Sales_Rep,Quantity,Unit_Price,Discount_Percent,Total_Amount
2023-09-09,Digital Dynamics,Support Contract,North,Alice Johnson,4,5234.67,0,20938.68
2023-09-12,Enterprise Plus,Data Analytics Tool,West,Bob Smith,7,6912.34,5,45995.78
2023-09-15,Metro Solutions,API Access,South,Emma Brown,10,1578.45,10,14206.05
2023-09-18,Apex Industries,Custom Development,East,Carol Davis,3,14089.12,0,42267.36
2023-09-21,Quantum Corp,Security Suite,Central,David Wilson,5,8378.23,5,39796.59
2023-09-24,Zenith Systems,Software License,North,Alice Johnson,6,5812.34,10,31386.64
2023-09-27,Acme Corp,Cloud Storage,West,Bob Smith,4,1401.23,0,5604.92
2023-09-30,TechStart Inc,Consulting Services,South,Emma Brown,7,9312.45,5,62128.10
2023-10-03,Global Solutions,Hardware,East,Carol Davis,5,3756.89,15,15966.78
2023-10-06,Innovate Ltd,Training Package,Central,David Wilson,9,2201.34,0,19812.06
2023-10-09,FutureTech,Support Contract,North,Alice Johnson,3,5289.45,10,14282.02
2023-10-12,DataDrive Co,Data Analytics Tool,West,Bob Smith,8,6878.12,5,52273.51
2023-10-15,CloudNine Systems,API Access,South,Emma Brown,6,1589.23,0,9535.38
2023-10-18,SmartBiz Inc,Custom Development,East,Carol Davis,2,13912.34,10,25042.21
2023-10-21,NextGen Solutions,Security Suite,Central,David Wilson,7,8312.45,5,55447.40
2023-10-24,Digital Dynamics,Software License,North,Alice Johnson,4,5878.90,0,23515.60
2023-10-27,Enterprise Plus,Cloud Storage,West,Bob Smith,5,1445.67,15,6143.60
2023-10-30,Metro Solutions,Consulting Services,South,Emma Brown,3,9289.12,5,26465.69
2023-11-02,Apex Industries,Hardware,East,Carol Davis,8,3845.23,0,30761.84
2023-11-05,Quantum Corp,Training Package,Central,David Wilson,6,2189.45,10,11839.23
2023-11-08,Zenith Systems,Support Contract,North,Alice Johnson,4,5201.34,0,20805.36
2023-11-11,Acme Corp,Data Analytics Tool,West,Bob Smith,7,6823.45,5,45434.01
2023-11-14,TechStart Inc,API Access,South,Emma Brown,10,1601.23,10,14411.07
2023-11-17,Global Solutions,Custom Development,East,Carol Davis,3,14145.67,0,42437.01
2023-11-20,Innovate Ltd,Security Suite,Central,David Wilson,5,8367.12,5,39743.82
2023-11-23,FutureTech,Software License,North,Alice Johnson,6,5890.34,10,31847.84
2023-11-26,DataDrive Co,Cloud Storage,West,Bob Smith,4,1412.34,0,5649.36
2023-11-29,CloudNine Systems,Consulting Services,South,Emma Brown,7,9323.56,5,62189.93
2023-12-02,SmartBiz Inc,Hardware,East,Carol Davis,5,3778.90,15,16060.33
2023-12-05,NextGen Solutions,Training Package,Central,David Wilson,8,2212.45,0,17699.60
2023-12-08,Digital Dynamics,Support Contract,North,Alice Johnson,3,5267.23,10,14223.05
2023-12-11,Enterprise Plus,Data Analytics Tool,West,Bob Smith,9,6889.34,5,58994.74
2023-12-14,Metro Solutions,API Access,South,Emma Brown,6,1589.67,0,9538.02
2023-12-17,Apex Industries,Custom Development,East,Carol Davis,2,13834.56,10,24902.21
2023-12-20,Quantum Corp,Security Suite,Central,David Wilson,7,8323.45,5,55540.99
2023-12-23,Zenith Systems,Software License,North,Alice Johnson,4,5912.34,0,23649.36
2023-12-26,Acme Corp,Cloud Storage,West,Bob Smith,5,1434.56,15,6096.88
2023-12-29,TechStart Inc,Consulting Services,South,Emma Brown,3,9267.89,5,26414.48
2024-01-01,Global Solutions,Hardware,East,Carol Davis,8,3823.45,0,30587.60
2024-01-04,Innovate Ltd,Training Package,Central,David Wilson,6,2178.23,10,11742.84
2024-01-07,FutureTech,Support Contract,North,Alice Johnson,7,5234.56,0,36641.92
2024-01-10,DataDrive Co,Data Analytics Tool,West,Bob Smith,4,6856.78,5,26055.77
2024-01-13,CloudNine Systems,API Access,South,Emma Brown,10,1578.90,10,14210.10
2024-01-16,SmartBiz Inc,Custom Development,East,Carol Davis,3,14078.23,0,42234.69
2024-01-19,NextGen Solutions,Security Suite,Central,David Wilson,5,8345.12,5,39689.32
2024-01-22,Digital Dynamics,Software License,North,Alice Johnson,6,5823.67,10,31488.00
2024-01-25,Enterprise Plus,Cloud Storage,West,Bob Smith,4,1389.45,0,5557.80
2024-01-28,Metro Solutions,Consulting Services,South,Emma Brown,7,9301.23,5,61983.25
2024-01-31,Apex Industries,Hardware,East,Carol Davis,5,3734.89,15,15873.28
2024-02-03,Quantum Corp,Training Package,Central,David Wilson,8,2223.45,0,17787.60
2024-02-06,Zenith Systems,Support Contract,North,Alice Johnson,3,5278.90,10,14253.11
2024-02-09,Acme Corp,Data Analytics Tool,West,Bob Smith,9,6834.12,5,58520.33
2024-02-12,TechStart Inc,API Access,South,Emma Brown,6,1612.34,0,9674.04
2024-02-15,Global Solutions,Custom Development,East,Carol Davis,2,13889.45,10,25020.51
2024-02-18,Innovate Ltd,Security Suite,Central,David Wilson,7,8312.78,5,55459.96
2024-02-21,FutureTech,Software License,North,Alice Johnson,4,5889.67,0,23558.68
2024-02-24,DataDrive Co,Cloud Storage,West,Bob Smith,5,1423.78,15,6051.06
2024-02-27,CloudNine Systems,Consulting Services,South,Emma Brown,3,9245.67,5,26340.16
2024-03-01,SmartBiz Inc,Hardware,East,Carol Davis,8,3812.56,0,30500.48
2024-03-04,NextGen Solutions,Training Package,Central,David Wilson,6,2189.56,10,11840.42
2024-03-07,Digital Dynamics,Support Contract,North,Alice Johnson,4,5245.89,0,20983.56
2024-03-10,Enterprise Plus,Data Analytics Tool,West,Bob Smith,7,6901.45,5,45984.63
2024-03-13,Metro Solutions,API Access,South,Emma Brown,10,1589.01,10,14301.09
2024-03-16,Apex Industries,Custom Development,East,Carol Davis,3,14123.67,0,42371.01
2024-03-19,Quantum Corp,Security Suite,Central,David Wilson,5,8356.89,5,39695.22
2024-03-22,Zenith Systems,Software License,North,Alice Johnson,6,5834.56,10,31507.44
2024-03-25,Acme Corp,Cloud Storage,West,Bob Smith,4,1412.89,0,5651.56
2024-03-28,TechStart Inc,Consulting Services,South,Emma Brown,7,9289.78,5,61928.41
2024-03-31,Global Solutions,Hardware,East,Carol Davis,5,3767.12,15,15959.76
2024-04-03,Innovate Ltd,Training Package,Central,David Wilson,9,2201.78,0,19816.02
2024-04-06,FutureTech,Support Contract,North,Alice Johnson,3,5267.45,10,14221.11
2024-04-09,DataDrive Co,Data Analytics Tool,West,Bob Smith,8,6867.89,5,52198.96
2024-04-12,CloudNine Systems,API Access,South,Emma Brown,6,1578.67,0,9472.02
2024-04-15,SmartBiz Inc,Custom Development,East,Carol Davis,2,13867.23,10,24960.01
2024-04-18,NextGen Solutions,Security Suite,Central,David Wilson,7,8334.56,5,55595.86
2024-04-21,Digital Dynamics,Software License,North,Alice Johnson,4,5867.12,0,23468.48
2024-04-24,Enterprise Plus,Cloud Storage,West,Bob Smith,5,1434.78,15,6097.82
2024-04-27,Metro Solutions,Consulting Services,South,Emma Brown,3,9278.45,5,26443.60
2024-04-30,Apex Industries,Hardware,East,Carol Davis,8,3834.67,0,30677.36
2024-05-03,Quantum Corp,Training Package,Central,David Wilson,6,2189.12,10,11838.85
2024-05-06,Zenith Systems,Support Contract,North,Alice Johnson,4,5212.34,0,20849.36
2024-05-09,Acme Corp,Data Analytics Tool,West,Bob Smith,7,6845.67,5,45576.78
2024-05-12,TechStart Inc,API Access,South,Emma Brown,10,1589.45,10,14305.05
2024-05-15,Global Solutions,Custom Development,East,Carol Davis,3,14089.34,0,42268.02
2024-05-18,Innovate Ltd,Security Suite,Central,David Wilson,5,8345.78,5,39692.46
2024-05-21,FutureTech,Software License,North,Alice Johnson,6,5878.23,10,31743.65
2024-05-24,DataDrive Co,Cloud Storage,West,Bob Smith,4,1401.45,0,5605.80
2024-05-27,CloudNine Systems,Consulting Services,South,Emma Brown,7,9312.67,5,62130.45
2024-05-30,SmartBiz Inc,Hardware,East,Carol Davis,5,3745.89,15,15919.78
2024-06-02,NextGen Solutions,Training Package,Central,David Wilson,8,2212.56,0,17700.48
2024-06-05,Digital Dynamics,Support Contract,North,Alice Johnson,3,5278.67,10,14252.51
2024-06-08,Enterprise Plus,Data Analytics Tool,West,Bob Smith,9,6878.45,5,58894.56
2024-06-11,Metro Solutions,API Access,South,Emma Brown,6,1601.34,0,9608.04
2024-06-14,Apex Industries,Custom Development,East,Carol Davis,2,13845.89,10,24923.60
2024-06-17,Quantum Corp,Security Suite,Central,David Wilson,7,8312.67,5,55449.92
2024-06-20,Zenith Systems,Software License,North,Alice Johnson,4,5901.23,0,23604.92
2024-06-23,Acme Corp,Cloud Storage,West,Bob Smith,5,1423.89,15,6051.53
2024-06-26,TechStart Inc,Consulting Services,South,Emma Brown,3,9256.78,5,26381.84
2024-06-29,Global Solutions,Hardware,East,Carol Davis,8,3823.67,0,30589.36
2024-07-02,Innovate Ltd,Training Package,Central,David Wilson,6,2189.78,10,11843.02
2024-07-05,FutureTech,Support Contract,North,Alice Johnson,7,5245.12,0,36715.84
2024-07-08,DataDrive Co,Data Analytics Tool,West,Bob Smith,4,6856.23,5,26053.67
2024-07-11,CloudNine Systems,API Access,South,Emma Brown,10,1589.78,10,14308.02
2024-07-14,SmartBiz Inc,Custom Development,East,Carol Davis,3,14067.89,0,42203.67
2024-07-17,NextGen Solutions,Security Suite,Central,David Wilson,5,8367.45,5,39745.39
2024-07-20,Digital Dynamics,Software License,North,Alice Johnson,6,5845.67,10,31567.64
2024-07-23,Enterprise Plus,Cloud Storage,West,Bob Smith,4,1389.67,0,5558.68
2024-07-26,Metro Solutions,Consulting Services,South,Emma Brown,7,9289.56,5,61928.08
2024-07-29,Apex Industries,Hardware,East,Carol Davis,5,3756.78,15,15966.31
2024-08-01,Quantum Corp,Training Package,Central,David Wilson,8,2223.67,0,17789.36
2024-08-04,Zenith Systems,Support Contract,North,Alice Johnson,3,5267.78,10,14222.11
2024-08-07,Acme Corp,Data Analytics Tool,West,Bob Smith,9,6845.89,5,58591.84
2024-08-10,TechStart Inc,API Access,South,Emma Brown,6,1589.89,0,9539.34
2024-08-13,Global Solutions,Custom Development,East,Carol Davis,2,13878.45,10,25021.21
2024-08-16,Innovate Ltd,Security Suite,Central,David Wilson,7,8323.67,5,55542.43
2024-08-19,FutureTech,Software License,North,Alice Johnson,4,5878.56,0,23514.24
2024-08-22,DataDrive Co,Cloud Storage,West,Bob Smith,5,1434.89,15,6098.28
2024-08-25,CloudNine Systems,Consulting Services,South,Emma Brown,3,9267.34,5,26412.98
2024-08-28,SmartBiz Inc,Hardware,East,Carol Davis,8,3812.89,0,30503.12
2024-08-31,NextGen Solutions,Training Package,Central,David Wilson,6,2178.45,10,11741.23
2024-09-03,Digital Dynamics,Support Contract,North,Alice Johnson,4,5234.78,0,20939.12
2024-09-06,Enterprise Plus,Data Analytics Tool,West,Bob Smith,7,6889.67,5,45903.84
2024-09-09,Metro Solutions,API Access,South,Emma Brown,10,1578.34,10,14205.06
2024-09-12,Apex Industries,Custom Development,East,Carol Davis,3,14089.56,0,42268.68
2024-09-15,Quantum Corp,Security Suite,Central,David Wilson,5,8345.34,5,39690.37
2024-09-18,Zenith Systems,Software License,North,Alice Johnson,6,5823.89,10,31489.28
2024-09-21,Acme Corp,Cloud Storage,West,Bob Smith,4,1401.67,0,5606.68
2024-09-24,TechStart Inc,Consulting Services,South,Emma Brown,7,9301.45,5,61984.63
2024-09-27,Global Solutions,Hardware,East,Carol Davis,5,3745.67,15,15918.85
2024-09-30,Innovate Ltd,Training Package,Central,David Wilson,8,2212.78,0,17702.24
2024-10-03,FutureTech,Support Contract,North,Alice Johnson,3,5256.89,10,14195.11
2024-10-06,DataDrive Co,Data Analytics Tool,West,Bob Smith,9,6867.12,5,58843.63
2024-10-09,CloudNine Systems,API Access,South,Emma Brown,6,1589.56,0,9537.36
2024-10-12,SmartBiz Inc,Custom Development,East,Carol Davis,2,13856.78,10,24942.20
2024-10-15,NextGen Solutions,Security Suite,Central,David Wilson,7,8312.89,5,55460.84
2024-10-18,Digital Dynamics,Software License,North,Alice Johnson,4,5867.45,0,23469.80
2024-10-21,Enterprise Plus,Cloud Storage,West,Bob Smith,5,1423.45,15,6049.67
2024-10-24,Metro Solutions,Consulting Services,South,Emma Brown,3,9278.67,5,26444.11
2024-10-27,Apex Industries,Hardware,East,Carol Davis,8,3823.89,0,30591.12
2024-10-30,Quantum Corp,Training Package,Central,David Wilson,6,2189.34,10,11839.64
2024-11-02,Zenith Systems,Support Contract,North,Alice Johnson,4,5223.45,0,20893.80
2024-11-05,Acme Corp,Data Analytics Tool,West,Bob Smith,7,6834.78,5,45502.42
2024-11-08,TechStart Inc,API Access,South,Emma Brown,10,1578.90,10,14210.10
2024-11-11,Global Solutions,Custom Development,East,Carol Davis,3,14123.56,0,42370.68
2024-11-14,Innovate Ltd,Security Suite,Central,David Wilson,5,8356.67,5,39694.18
2024-11-17,FutureTech,Software License,North,Alice Johnson,6,5845.89,10,31568.84
2024-11-20,DataDrive Co,Cloud Storage,West,Bob Smith,4,1412.67,0,5650.68
2024-11-23,CloudNine Systems,Consulting Services,South,Emma Brown,7,9289.89,5,61929.42
2024-11-26,SmartBiz Inc,Hardware,East,Carol Davis,5,3756.89,15,15966.78
2024-11-29,NextGen Solutions,Training Package,Central,David Wilson,8,2223.89,0,17791.12
2024-12-02,Digital Dynamics,Support Contract,North,Alice Johnson,3,5267.12,10,14221.30
2024-12-05,Enterprise Plus,Data Analytics Tool,West,Bob Smith,9,6878.67,5,58897.24
2024-12-08,Metro Solutions,API Access,South,Emma Brown,6,1589.34,0,9536.04
2024-12-11,Apex Industries,Custom Development,East,Carol Davis,2,13867.45,10,24961.41
2024-12-14,Quantum Corp,Security Suite,Central,David Wilson,7,8323.89,5,55544.47
2024-12-17,Zenith Systems,Software License,North,Alice Johnson,4,5889.90,0,23559.60
2024-12-20,Acme Corp,Cloud Storage,West,Bob Smith,5,1434.67,15,6097.35
2024-12-23,TechStart Inc,Consulting Services,South,Emma Brown,3,9267.56,5,26413.60
2024-12-26,Global Solutions,Hardware,East,Carol Davis,8,3834.89,0,30679.12
2024-12-29,Innovate Ltd,Training Package,Central,David Wilson,6,2189.67,10,11841.42
